SKU,Thickness,Dimension,Width in Inches,Length in Inches,Width in mm,Length in mm,Weight (kg),is_round
MRC-MR-0597,2mm,33.2 x 54.75 Inch,33.2,54.75,843,1391,3.664,
MRC-MR-0598,2mm,33.2 x 55.75 Inch,33.2,55.75,843,1416,3.72,
MRC-MR-0599,2mm,33.2 x 56.75 Inch,33.2,56.75,843,1441,3.775,
MRC-MR-0600,2mm,33.2 x 57.75 Inch,33.2,57.75,843,1467,3.83,
MRC-MR-0601,2mm,33.2 x 58.75 Inch,33.2,58.75,843,1492,3.886,
MRC-MR-0602,2mm,33.2 x 59.75 Inch,33.2,59.75,843,1518,3.941,
MRC-MR-0603,2mm,33.2 x 60.75 Inch,33.2,60.75,843,1543,3.996,
MRC-MR-0605,2mm,34 Inch Round Dia,34.0,34.0,864,864,,yes
MRC-MR-0606,2mm,34.2  x 45.7 Inch,34.2,45.7,869,1161,3.591,
MRC-MR-0607,2mm,34.2 x 46.7 Inch,34.2,46.7,869,1186,3.648,
MRC-MR-0608,2mm,34.2 x 47.7 Inch,34.2,47.7,869,1212,3.706,
MRC-MR-0609,2mm,34.2 x 48.7 Inch,34.2,48.7,869,1237,3.763,
MRC-MR-0610,2mm,34.2 x 49.7 Inch,34.2,49.7,869,1262,3.82,
MRC-MR-0611,2mm,34.2 x 50.7 Inch,34.2,50.7,869,1288,3.527,
MRC-MR-0612,2mm,34.2 x 51.75 Inch,34.2,51.75,869,1314,3.584,
MRC-MR-0613,2mm,34.2 x 52.75 Inch,34.2,52.75,869,1340,3.641,
MRC-MR-0614,2mm,34.2 x 53.75 Inch,34.2,53.75,869,1365,3.698,
MRC-MR-0615,2mm,34.2 x 54.75 Inch,34.2,54.75,869,1391,3.755,
MRC-MR-0616,2mm,34.2 x 55.75 Inch,34.2,55.75,869,1416,3.812,
MRC-MR-0617,2mm,34.2 x 56.75 Inch,34.2,56.75,869,1441,3.869,
MRC-MR-0618,2mm,34.2 x 57.75 Inch,34.2,57.75,869,1467,3.926,
MRC-MR-0619,2mm,34.2 x 58.75 Inch,34.2,58.75,869,1492,3.983,
MRC-MR-0620,2mm,34.2 x 59.75 Inch,34.2,59.75,869,1518,4.04,
MRC-MR-0621,2mm,34.2 x 60.75 Inch,34.2,60.75,869,1543,4.097,
MRC-MR-0622,2mm,35 Inch Round Dia,35.0,35.0,889,889,,yes
MRC-MR-0623,2mm,35.5 x 35.5 Inch,35.5,35.5,902,902,2.73,
MRC-MR-0624,2mm,35.2 x 45.7 Inch,35.2,45.7,894,1161,3.667,
MRC-MR-0625,2mm,35.2 x 46.7 Inch,35.2,46.7,894,1186,3.726,
MRC-MR-0626,2mm,35.2 x 47.7 Inch,35.2,47.7,894,1212,3.784,
MRC-MR-0627,2mm,35.2 x 48.7 Inch,35.2,48.7,894,1237,3.843,
MRC-MR-0628,2mm,35.2 x 49.7 Inch,35.2,49.7,894,1262,3.552,
MRC-MR-0629,2mm,35.2 x 50.7 Inch,35.2,50.7,894,1288,3.61,
MRC-MR-0630,2mm,35.2 x 51.75 Inch,35.2,51.75,894,1314,3.669,
MRC-MR-0631,2mm,35.2 x 52.75 Inch,35.2,52.75,894,1340,3.728,
MRC-MR-0632,2mm,35.2 x 53.75 Inch,35.2,53.75,894,1365,3.787,
MRC-MR-0633,2mm,35.2 x 54.75 Inch,35.2,54.75,894,1391,3.845,
MRC-MR-0634,2mm,35.2 x 55.75 Inch,35.2,55.75,894,1416,3.904,
MRC-MR-0635,2mm,35.2 x 56.75 Inch,35.2,56.75,894,1441,3.963,
MRC-MR-0636,2mm,35.2 x 57.75 Inch,35.2,57.75,894,1467,4.021,
MRC-MR-0637,2mm,35.2 x 58.75 Inch,35.2,58.75,894,1492,4.08,
MRC-MR-0638,2mm,35.2 x 59.75 Inch,35.2,59.75,894,1518,4.139,
MRC-MR-0639,2mm,35.2 x 60.75 Inch,35.2,60.75,894,1543,4.198,
MRC-MR-0640,2mm,35.2 x 68.8 Inch,35.2,68.8,894,1748,4.667,
MRC-MR-0642,2mm,36.2 x 45.7 Inch,36.2,45.7,919,1161,3.742,
MRC-MR-0643,2mm,36.2 x 46.7 Inch,36.2,46.7,919,1186,3.803,
MRC-MR-0644,2mm,36.2 x 47.7 Inch,36.2,47.7,919,1212,3.513,
MRC-MR-0645,2mm,36.2 x 48.7 Inch,36.2,48.7,919,1237,3.574,
MRC-MR-0646,2mm,36.2 x 49.7 Inch,36.2,49.7,919,1262,3.634,
MRC-MR-0647,2mm,36.2 x 50.7 Inch,36.2,50.7,919,1288,3.694,
MRC-MR-0648,2mm,36.2 x 51.75 Inch,36.2,51.75,919,1314,3.755,
MRC-MR-0649,2mm,36.2 x 52.75 Inch,36.2,52.75,919,1340,3.815,
MRC-MR-0650,2mm,36.2 x 53.75 Inch,36.2,53.75,919,1365,3.876,
MRC-MR-0651,2mm,36.2 x 54.75 Inch,36.2,54.75,919,1391,3.936,
MRC-MR-0652,2mm,36.2 x 55.75 Inch,36.2,55.75,919,1416,3.996,
MRC-MR-0653,2mm,36.2 x 56.75 Inch,36.2,56.75,919,1441,4.057,
MRC-MR-0654,2mm,36.2 x 57.75 Inch,36.2,57.75,919,1467,4.117,
MRC-MR-0655,2mm,36.2 x 58.75 Inch,36.2,58.75,919,1492,4.177,
MRC-MR-0656,2mm,36.2 x 59.75 Inch,36.2,59.75,919,1518,4.588,
MRC-MR-0657,2mm,36.2 x 60.75 Inch,36.2,60.75,919,1543,4.648,
MRC-MR-0658,2mm,36.2 x 66.8 Inch,36.2,66.8,919,1697,4.661,
MRC-MR-0659,2mm,36.2 x 85.2 Inch,36.2,85.2,919,2164,5.748,
MRC-MR-0660,2mm,37.2 x 45.7 Inch,37.2,45.7,945,1161,3.818,
MRC-MR-0661,2mm,37.2 x 46.7 Inch,37.2,46.7,945,1186,3.53,
MRC-MR-0662,2mm,37.2 x 47.7 Inch,37.2,47.7,945,1212,3.592,
MRC-MR-0663,2mm,37.2 x 48.7 Inch,37.2,48.7,945,1237,3.654,
MRC-MR-0664,2mm,37.2 x 49.7 Inch,37.2,49.7,945,1262,3.716,
MRC-MR-0665,2mm,37.2 x 50.7 Inch,37.2,50.7,945,1288,3.778,
MRC-MR-0666,2mm,37.2 x 51.75 Inch,37.2,51.75,945,1314,3.84,
MRC-MR-0667,2mm,37.2 x 52.75 Inch,37.2,52.75,945,1340,3.902,
MRC-MR-0668,2mm,37.2 x 53.75 Inch,37.2,53.75,945,1365,3.964,
MRC-MR-0669,2mm,37.2 x 54.75 Inch,37.2,54.75,945,1391,4.026,
MRC-MR-0670,2mm,37.2 x 55.75 Inch,37.2,55.75,945,1416,4.089,
MRC-MR-0671,2mm,37.2 x 56.75 Inch,37.2,56.75,945,1441,4.151,
MRC-MR-0672,2mm,37.2 x 57.75 Inch,37.2,57.75,945,1467,4.563,
MRC-MR-0673,2mm,37.2 x 58.75 Inch,37.2,58.75,945,1492,4.625,
MRC-MR-0674,2mm,37.2 x 59.75 Inch,37.2,59.75,945,1518,4.687,
MRC-MR-0675,2mm,37.2 x 60.75 Inch,37.2,60.75,945,1543,4.749,
MRC-MR-0676,2mm,38.2 x 45.7 Inch,38.2,45.7,970,1161,3.543,
MRC-MR-0677,2mm,38.2 x 46.7 Inch,38.2,46.7,970,1186,3.607,
MRC-MR-0678,2mm,38.2 x 47.7 Inch,38.2,47.7,970,1212,3.671,
MRC-MR-0679,2mm,38.2 x 48.7 Inch,38.2,48.7,970,1237,3.735,
MRC-MR-0680,2mm,38.2 x 49.7 Inch,38.2,49.7,970,1262,3.798,
MRC-MR-0681,2mm,38.2 x 50.7 Inch,38.2,50.7,970,1288,3.862,
MRC-MR-0682,2mm,38.2 x 51.75 Inch,38.2,51.75,970,1314,3.926,
MRC-MR-0683,2mm,38.2 x 52.75 Inch,38.2,52.75,970,1340,3.99,
MRC-MR-0684,2mm,38.2 x 53.75 Inch,38.2,53.75,970,1365,4.053,
MRC-MR-0685,2mm,38.2 x 54.75 Inch,38.2,54.75,970,1391,4.117,
MRC-MR-0686,2mm,38.2x 55.75 Inch,38.2,55.75,970,1416,4.181,
MRC-MR-0687,2mm,38.2 x 56.75 Inch,38.2,56.75,970,1441,4.595,
MRC-MR-0688,2mm,38.2 x 57.75 Inch,38.2,57.75,970,1467,4.658,
MRC-MR-0689,2mm,38.2 x 58.75 Inch,38.2,58.75,970,1492,4.722,
MRC-MR-0690,2mm,38.2 x 59.75 Inch,38.2,59.75,970,1518,4.786,
MRC-MR-0691,2mm,38.2 x 60.75 Inch,38.2,60.75,970,1543,4.85,
MRC-MR-0692,2mm,38.2 x 63.8 Inch,38.2,63.8,970,1621,4.691,
MRC-MR-0693,2mm,39.2 x 45.7 Inch,39.2,45.7,996,1161,3.619,
MRC-MR-0694,2mm,39.2 x 46.7 Inch,39.2,46.7,996,1186,3.684,
MRC-MR-0695,2mm,39.2 x 47.7 Inch,39.2,47.7,996,1212,3.75,
MRC-MR-0696,2mm,39.2 x 48.7 Inch,39.2,48.7,996,1237,3.815,
MRC-MR-0697,2mm,39.2x 49.7 Inch,39.2,49.7,996,1262,3.881,
MRC-MR-0698,2mm,39.2 x 50.7 Inch,39.2,50.7,996,1288,3.946,
MRC-MR-0699,2mm,39.2 x 51.75 Inch,39.2,51.75,996,1314,4.011,
MRC-MR-0700,2mm,39.2 x 52.75 Inch,39.2,52.75,996,1340,4.077,
MRC-MR-0701,2mm,39.2 x 53.75 Inch,39.2,53.75,996,1365,4.142,
MRC-MR-0702,2mm,39.2 x 54.75 Inch,39.2,54.75,996,1391,4.558,
MRC-MR-0703,2mm,39.2 x 55.75 Inch,39.2,55.75,996,1416,4.623,
MRC-MR-0704,2mm,39.2 x 56.75 Inch,39.2,56.75,996,1441,4.688,
MRC-MR-0705,2mm,39.2 x 57.75 Inch,39.2,57.75,996,1467,4.754,
MRC-MR-0706,2mm,39.2 x 58.75 Inch,39.2,58.75,996,1492,4.819,
MRC-MR-0707,2mm,39.2 x 59.75 Inch,39.2,59.75,996,1518,4.535,
MRC-MR-0708,2mm,39.2 x 60.75 Inch,39.2,60.75,996,1543,4.6,
MRC-MR-0709,2mm,40.5 x 40.5 Inch,40.5,40.5,1029,1029,3.709,
MRC-MR-0710,2mm,40.2 x 45.7 Inch,40.2,45.7,1021,1161,3.694,
MRC-MR-0711,2mm,40.2 x 46.7 Inch,40.2,46.7,1021,1186,3.761,
MRC-MR-0712,2mm,40.2 x 47.7 Inch,40.2,47.7,1021,1212,3.829,
MRC-MR-0713,2mm,40.2 x 48.7 Inch,40.2,48.7,1021,1237,3.896,
MRC-MR-0714,2mm,40.2 x 49.7 Inch,40.2,49.7,1021,1262,3.963,
MRC-MR-0715,2mm,40.2 x 50.7 Inch,40.2,50.7,1021,1288,4.03,
MRC-MR-0716,2mm,40.2 x 51.75 Inch,40.2,51.75,1021,1314,4.097,
MRC-MR-0717,2mm,40.2 x 52.75 Inch,40.2,52.75,1021,1340,4.164,
MRC-MR-0718,2mm,40.2 x 53.75 Inch,40.2,53.75,1021,1365,4.581,
MRC-MR-0719,2mm,40.2 x 54.75 Inch,40.2,54.75,1021,1391,4.648,
MRC-MR-0720,2mm,40.2 x 55.75 Inch,40.2,55.75,1021,1416,4.715,
MRC-MR-0722,2mm,40.2 x 57.75 Inch,40.2,57.75,1021,1467,4.85,
MRC-MR-0723,2mm,40.2 x 58.75 Inch,40.2,58.75,1021,1492,4.567,
MRC-MR-0724,2mm,40.2 x 59.75 Inch,40.2,59.75,1021,1518,4.634,
MRC-MR-0725,2mm,40.2 x 60.75 Inch,40.2,60.75,1021,1543,4.701,
MRC-MR-0726,2mm,40.2 x 65.8 Inch,40.2,65.8,1021,1671,5.036,
MRC-MR-0727,2mm,41.2 x 45.7 Inch,41.2,45.7,1046,1161,3.77,
MRC-MR-0728,2mm,41.2 x 46.7 Inch,41.2,46.7,1046,1186,3.839,
MRC-MR-0729,2mm,41.2 x 47.7 Inch,41.2,47.7,1046,1212,3.907,
MRC-MR-0730,2mm,41.2 x 48.7 Inch,41.2,48.7,1046,1237,3.976,
MRC-MR-0731,2mm,41.2x 49.7 Inch,41.2,49.7,1046,1262,4.045,
MRC-MR-0732,2mm,41.2 x 50.7 Inch,41.2,50.7,1046,1288,4.114,
MRC-MR-0733,2mm,41.2 x 51.75 Inch,41.2,51.75,1046,1314,4.182,
MRC-MR-0734,2mm,41.2 x 52.75 Inch,41.2,52.75,1046,1340,4.601,
MRC-MR-0735,2mm,41.2 x 53.75 Inch,41.2,53.75,1046,1365,4.67,
MRC-MR-0736,2mm,41.2 x 54.75 Inch,41.2,54.75,1046,1391,4.739,
MRC-MR-0737,2mm,41.2 x 55.75 Inch,41.2,55.75,1046,1416,4.808,
MRC-MR-0738,2mm,41.2 x 56.75 Inch,41.2,56.75,1046,1441,4.526,
MRC-MR-0739,2mm,41.2 x 57.75 Inch,41.2,57.75,1046,1467,4.595,
MRC-MR-0740,2mm,41.2 x 58.75 Inch,41.2,58.75,1046,1492,4.664,
MRC-MR-0741,2mm,41.2 x 59.75 Inch,41.2,59.75,1046,1518,4.733,
MRC-MR-0742,2mm,41.2 x 60.75 Inch,41.2,60.75,1046,1543,4.801,
MRC-MR-0743,2mm,41.2 x 65.8 Inch,41.2,65.8,1046,1671,5.145,
MRC-MR-0744,2mm,42 Inch Round Dia,42.0,42.0,1067,1067,,yes
MRC-MR-0745,2mm,42.2 x 45.7 Inch,42.2,45.7,1072,1161,3.845,
MRC-MR-0746,2mm,42.2 x 46.7 Inch,42.2,46.7,1072,1186,3.916,
MRC-MR-0747,2mm,42.2 x 47.7 Inch,42.2,47.7,1072,1212,3.986,
MRC-MR-0748,2mm,42.2 x 48.7 Inch,42.2,48.7,1072,1237,4.057,
MRC-MR-0749,2mm,42.2 x 49.7 Inch,42.2,49.7,1072,1262,4.127,
MRC-MR-0750,2mm,42.2 x 50.7 Inch,42.2,50.7,1072,1288,4.198,
MRC-MR-0751,2mm,42.2 x 51.75 Inch,42.2,51.75,1072,1314,4.618,
MRC-MR-0752,2mm,42.2 x 52.75 Inch,42.2,52.75,1072,1340,4.688,
MRC-MR-0753,2mm,42.2 x 53.75 Inch,42.2,53.75,1072,1365,4.759,
MRC-MR-0754,2mm,42.2 x 54.75 Inch,42.2,54.75,1072,1391,4.829,
MRC-MR-0755,2mm,42.2 x 55.75 Inch,42.2,55.75,1072,1416,4.55,
MRC-MR-0756,2mm,42.2 x 56.75 Inch,42.2,56.75,1072,1441,4.62,
MRC-MR-0757,2mm,42.2 x 57.75 Inch,42.2,57.75,1072,1467,4.691,
MRC-MR-0758,2mm,42.2 x 58.75 Inch,42.2,58.75,1072,1492,4.761,
MRC-MR-0759,2mm,42.2 x 59.75 Inch,42.2,59.75,1072,1518,4.832,
MRC-MR-0760,2mm,42.2 x 60.75 Inch,42.2,60.75,1072,1543,4.902,
MRC-MR-0761,2mm,42.2 x 72.8 Inch,42.2,72.8,1072,1849,5.748,
MRC-MR-0762,2mm,45.5 x 45.5 Inch,45.5,45.5,1156,1156,4.072,
MRC-MR-0763,2mm,45.2 x 65.8 Inch,45.2,65.8,1148,1671,5.581,
MRC-MR-0764,2mm,46.2 x 57.75 Inch,46.2,57.75,1173,1467,5.073,
MRC-MR-0765,2mm,46.2 x 64.8 Inch,46.2,64.8,1173,1646,5.613,
MRC-MR-0766,2mm,46.2 x 68.8 Inch,46.2,68.8,1173,1748,5.922,
MRC-MR-0767,2mm,47 Inch Round Dia,47.0,47.0,1194,1194,,yes
MRC-MR-0768,2mm,48 Inch Round Dia,48.0,48.0,1219,1219,,yes
MRC-MR-0769,2mm,48.2 x 85 Inch,48.2,85.0,1224,2159,7.788,
MRC-MR-0770,2mm,48.2 x 97 Inch,48.2,97.0,1224,2464,8.755,
MRC-MR-0771,2mm,50.2 x 58.75 Inch,50.2,58.75,1275,1492,5.54,
MRC-MR-0772,2mm,58.5 x 106.5 Inch,58.5,106.5,1486,2705,10.988,
MRC-MR-0773,2mm,41.5 x 78.8 Inch,41.5,78.8,1054,2002,6.07,
MRC-MR-0774,3mm,12.2 x 24.5 Inch,12.2,24.5,310,622,1.75,
MRC-MR-0775,3mm,17.2 x 29.5 Inch,17.2,29.5,437,749,1.915,
MRC-MR-0776,3mm,17.2 x 32.5 Inch,17.2,32.5,437,826,2.044,
MRC-MR-0777,3mm,18.5 x 18.5 Inch,18.5,18.5,470,470,1.84,
MRC-MR-0778,3mm,18.2 x 35.5 Inch,18.2,35.5,462,902,2.61,
MRC-MR-0779,3mm,18.2 x 36.5 Inch,18.2,36.5,462,927,2.655,
MRC-MR-0780,3mm,18.2 x 37.5 Inch,18.2,37.5,462,952,2.701,
MRC-MR-0781,3mm,18.2 x 42.5 Inch,18.2,42.5,462,1080,2.577,
MRC-MR-0782,3mm,19.2 x 66.7 Inch,19.2,66.7,488,1694,3.83,
MRC-MR-0783,3mm,21.2 x 34.5 Inch,21.2,34.5,538,876,2.822,
MRC-MR-0784,3mm,23 Inch Round Dia,23.0,23.0,584,584,,yes
MRC-MR-0785,3mm,23.4 x 35.5 Inch,23.4,35.5,594,902,2.745,
MRC-MR-0786,3mm,24 Inch Round Dia,24.0,24.0,610,610,,yes
MRC-MR-0787,3mm,24.2 x 36.5 Inch,24.2,36.5,615,927,2.849,
MRC-MR-0788,3mm,24.2 x 48.7 Inch,24.2,48.7,615,1237,3.574,
MRC-MR-0789,3mm,27.4 x 51.7 Inch,27.4,51.7,696,1313,4.588,
MRC-MR-0790,3mm,27.5 x 47.7 Inch,27.5,47.7,698,1212,3.953,
MRC-MR-0791,3mm,28.5 x 28.5 Inch,28.5,28.5,724,724,2.648,
MRC-MR-0792,3mm,28.2 x 44.7 Inch,28.2,44.7,716,1135,3.775,
MRC-MR-0793,3mm,28.2 x 60.7 Inch,28.2,60.7,716,1542,4.902,
MRC-MR-0794,3mm,30.5 x 30.5 Inch,30.5,30.5,775,775,2.94,
MRC-MR-0795,3mm,30.2 x 36.5 Inch,30.2,36.5,767,927,3.742,
MRC-MR-0796,3mm,30.2 x 45.7 Inch,30.2,45.7,767,1161,4.072,
MRC-MR-0797,3mm,30.2 x 46.7 Inch,30.2,46.7,767,1186,4.147,
MRC-MR-0798,3mm,30.2 x 47.7 Inch,30.2,47.7,767,1212,4.573,
MRC-MR-0799,3mm,30.2 x 48.7 Inch,30.2,48.7,767,1237,4.648,
MRC-MR-0800,3mm,30.2 x 49.7 Inch,30.2,49.7,767,1262,4.724,
MRC-MR-0801,3mm,30.2 x 50.7Inch,30.2,50.7,767,1288,4.799,
MRC-MR-0802,3mm,30.2 x 51.7 Inch,30.2,51.7,767,1313,4.525,
MRC-MR-0803,3mm,30.2 x 52.7 Inch,30.2,52.7,767,1339,4.6,
MRC-MR-0804,3mm,30.2 x 53.7 Inch,30.2,53.7,767,1364,4.676,
MRC-MR-0805,3mm,30.2 x 54.7 Inch,30.2,54.7,767,1389,4.751,
MRC-MR-0806,3mm,30.2 x 55.7 Inch,30.2,55.7,767,1415,4.827,
MRC-MR-0807,3mm,30.2 x 56.7 Inch,30.2,56.7,767,1440,,
MRC-MR-0808,3mm,30.5 x 57.7 Inch,30.5,57.7,775,1466,4.978,
MRC-MR-0809,3mm,30.2 x 58.7 Inch,30.2,58.7,767,1491,5.053,
MRC-MR-0810,3mm,30.2 x 59.7 Inch,30.2,59.7,767,1516,5.129,
MRC-MR-0811,3mm,30.2 x 60.7 Inch,30.2,60.7,767,1542,5.554,
MRC-MR-0812,3mm,31 Inch Round Dia,31.0,31.0,787,787,,yes
MRC-MR-0813,3mm,31.2 x 45.7 Inch,31.2,45.7,792,1161,,
MRC-MR-0814,3mm,31.2 x 46.7 Inch,31.2,46.7,792,1186,4.613,
MRC-MR-0815,3mm,31.2 x 47.7 Inch,31.2,47.7,792,1212,4.691,
MRC-MR-0816,3mm,31.2 x 48.7 Inch,31.2,48.7,792,1237,4.769,
MRC-MR-0817,3mm,31.2 x 49.7 Inch,31.2,49.7,792,1262,4.847,
MRC-MR-0818,3mm,31.2 x 50.7 Inch,31.2,50.7,792,1288,4.575,
MRC-MR-0819,3mm,31.2 x 51.7 Inch,31.2,51.7,792,1313,4.653,
MRC-MR-0820,3mm,31.2 x 52.7 Inch,31.2,52.7,792,1339,4.731,
MRC-MR-0821,3mm,31.2 x 53.7 Inch,31.2,53.7,792,1364,,
MRC-MR-0822,3mm,31.2 x 54.7 Inch,31.2,54.7,792,1389,4.887,
MRC-MR-0823,3mm,31.2 x 55.7 Inch,31.2,55.7,792,1415,4.965,
MRC-MR-0824,3mm,31.2 x 56.7 Inch,31.2,56.7,792,1440,5.043,
MRC-MR-0825,3mm,31.2 x 57.7 Inch,31.2,57.7,792,1466,5.121,
MRC-MR-0826,3mm,31.2 x 58.7 Inch,31.2,58.7,792,1491,5.199,
MRC-MR-0827,3mm,31.2 x 59.7 Inch,31.2,59.7,792,1516,5.627,
MRC-MR-0828,3mm,31.2 x 60.7 Inch,31.2,60.7,792,1542,5.705,
MRC-MR-0829,3mm,31.5 x 55.7 Inch,31.5,55.7,800,1415,5.034,
MRC-MR-0830,3mm,32.2x 45.7 Inch,32.2,45.7,818,1161,4.648,
MRC-MR-0831,3mm,32.2 x 46.7 Inch,32.2,46.7,818,1186,4.729,
MRC-MR-0832,3mm,32.2 x 47.7 Inch,32.2,47.7,818,1212,4.809,
MRC-MR-0833,3mm,32.2 x 48.7 Inch,32.2,48.7,818,1237,4.54,
MRC-MR-0834,3mm,32.2 x 49.7 Inch,32.2,49.7,818,1262,4.62,
MRC-MR-0835,3mm,32.7 x 50.7 Inch,32.7,50.7,831,1288,4.701,
MRC-MR-0836,3mm,32.2 x 51.7 Inch,32.2,51.7,818,1313,4.781,
MRC-MR-0837,3mm,32.2 x 52.7 Inch,32.2,52.7,818,1339,4.862,
MRC-MR-0838,3mm,32.2 x 53.7 Inch,32.2,53.7,818,1364,4.942,
MRC-MR-0839,3mm,32.2 x 54.7 Inch,32.2,54.7,818,1389,5.023,
MRC-MR-0840,3mm,32.2 x 55.7 Inch,32.2,55.7,818,1415,,
MRC-MR-0841,3mm,32.2 x 56.7 Inch,32.2,56.7,818,1440,5.184,
MRC-MR-0842,3mm,32.2 x 57.7 Inch,32.2,57.7,818,1466,5.614,
MRC-MR-0843,3mm,32.2 x 58.7 Inch,32.2,58.7,818,1491,5.695,
MRC-MR-0844,3mm,32.2 x 59.7 Inch,32.2,59.7,818,1516,,
MRC-MR-0845,3mm,32.2 x 60.7 Inch,32.2,60.7,818,1542,5.506,
MRC-MR-0846,3mm,33.2 x 45.7 Inch,33.2,45.7,843,1161,,
MRC-MR-0847,3mm,33.2 x 46.7 Inch,33.2,46.7,843,1186,4.844,
MRC-MR-0848,3mm,33.2 x 47.7 Inch,33.2,47.7,843,1212,4.578,
MRC-MR-0849,3mm,33.2 x 48.7 Inch,33.2,48.7,843,1237,4.661,
MRC-MR-0850,3mm,33.2 x 49.7 Inch,33.2,49.7,843,1262,4.744,
MRC-MR-0851,3mm,33.2 x 50.7 Inch,33.2,50.7,843,1288,4.827,
MRC-MR-0852,3mm,33.2 x 51.7 Inch,33.2,51.7,843,1313,4.91,
MRC-MR-0853,3mm,33.2 x 52.7 Inch,33.2,52.7,843,1339,4.993,
MRC-MR-0854,3mm,33.2 x 53.7 Inch,33.2,53.7,843,1364,5.076,
MRC-MR-0855,3mm,33.2 x 54.7 Inch,33.2,54.7,843,1389,5.159,
MRC-MR-0856,3mm,33.2 x 55.7 Inch,33.2,55.7,843,1415,5.592,
MRC-MR-0857,3mm,33.2 x 56.7 Inch,33.2,56.7,843,1440,5.675,
MRC-MR-0858,3mm,33.2 x 57.7 Inch,33.2,57.7,843,1466,5.758,
MRC-MR-0859,3mm,33.2 x 58.7 Inch,33.2,58.7,843,1491,5.841,
MRC-MR-0860,3mm,33.2 x 59.7 Inch,33.2,59.7,843,1516,5.574,
MRC-MR-0861,3mm,33.2 x 60.7 Inch,33.2,60.7,843,1542,5.657,
MRC-MR-0863,3mm,34 Inch Round Dia,34.0,34.0,864,864,,yes
MRC-MR-0864,3mm,34.2 x 45.7 Inch,34.2,45.7,869,1161,4.525,
MRC-MR-0865,3mm,34.2 x 46.7 Inch,34.2,46.7,869,1186,4.61,
MRC-MR-0866,3mm,34.2x 47.7 Inch,34.2,47.7,869,1212,4.696,
MRC-MR-0867,3mm,34.2 x 48.7 Inch,34.2,48.7,869,1237,4.781,
MRC-MR-0868,3mm,34.2 x 49.7 Inch,34.2,49.7,869,1262,4.867,
MRC-MR-0869,3mm,34.2 x 50.7 Inch,34.2,50.7,869,1288,4.952,
MRC-MR-0870,3mm,34.2 x 51.7 Inch,34.2,51.7,869,1313,5.038,
MRC-MR-0871,3mm,34.2 x 52.7 Inch,34.2,52.7,869,1339,5.124,
MRC-MR-0872,3mm,34.2 x 53.7 Inch,34.2,53.7,869,1364,5.559,
MRC-MR-0873,3mm,34.2 x 54.7 Inch,34.2,54.7,869,1389,5.645,
MRC-MR-0874,3mm,34.2 x 55.7 Inch,34.2,55.7,869,1415,5.73,
MRC-MR-0875,3mm,34.2 x 56.7 Inch,34.2,56.7,869,1440,5.816,
MRC-MR-0876,3mm,34.2 x 57.7 Inch,34.2,57.7,869,1466,5.551,
MRC-MR-0877,3mm,34.2 x 58.7 Inch,34.2,58.7,869,1491,5.637,
MRC-MR-0878,3mm,34.2 x 59.7 Inch,34.2,59.7,869,1516,5.722,
MRC-MR-0879,3mm,34.2 x 60.7 Inch,34.2,60.7,869,1542,5.808,
MRC-MR-0880,3mm,35 Inch Round Dia,35.0,35.0,889,889,,yes
MRC-MR-0881,3mm,35.5 x 35.5 Inch,35.5,35.5,902,902,3.757,
MRC-MR-0882,3mm,35.2 x 45.7 Inch,35.2,45.7,894,1161,4.638,
MRC-MR-0883,3mm,35.2 x 46.7 Inch,35.2,46.7,894,1186,4.726,
MRC-MR-0884,3mm,35.2 x 47.7 Inch,35.2,47.7,894,1212,4.814,
MRC-MR-0885,3mm,35.2 x 48.7 Inch,35.2,48.7,894,1237,4.902,
MRC-MR-0886,3mm,35.2 x 49.7 Inch,35.2,49.7,894,1262,4.99,
MRC-MR-0887,3mm,35.2 x 50.7 Inch,35.2,50.7,894,1288,5.078,
MRC-MR-0888,3mm,35.2 x 51.7 Inch,35.2,51.7,894,1313,5.166,
MRC-MR-0889,3mm,35.2 x 52.7 Inch,35.2,52.7,894,1339,5.604,
MRC-MR-0890,3mm,35.2 x 53.7 Inch,35.2,53.7,894,1364,5.692,
MRC-MR-0891,3mm,35.2 x 54.7 Inch,35.2,54.7,894,1389,5.78,
MRC-MR-0892,3mm,35.2 x 55.7 Inch,35.2,55.7,894,1415,5.519,
MRC-MR-0893,3mm,35.2 x 56.7 Inch,35.2,56.7,894,1440,5.607,
MRC-MR-0894,3mm,35.2 x 57.7 Inch,35.2,57.7,894,1466,5.695,
MRC-MR-0895,3mm,35.2 x 58.7 Inch,35.2,58.7,894,1491,5.783,
MRC-MR-0897,3mm,35.2 x 60.7 Inch,35.2,60.7,894,1542,5.959,
MRC-MR-0898,3mm,35.2 x 68.8 Inch,35.2,68.8,894,1748,6.663,
MRC-MR-0899,3mm,35.4 x 59.7 Inch,35.4,59.7,899,1516,5.93,
MRC-MR-0900,3mm,36.2 x 45.7 Inch,36.2,45.7,919,1161,4.751,
MRC-MR-0901,3mm,36.2 x 46.7 Inch,36.2,46.7,919,1186,4.842,
MRC-MR-0902,3mm,36.2 x 47.7 Inch,36.2,47.7,919,1212,4.932,
MRC-MR-0903,3mm,36.2 x 48.7 Inch,36.2,48.7,919,1237,5.023,
MRC-MR-0904,3mm,36.2 x 49.7 Inch,36.2,49.7,919,1262,5.113,
